Actual,Predicted
4869.5,4921.579
4948.4,4959.1367
5737.3,5771.317
7072.4,6956.25
7065.7,7154.6055
5445.2,5428.618
6740.8,6719.0557
6582.3,6527.961
6365.3,6357.2065
6482.8,6354.988
5943.3,5875.7017
6523.0,6461.811
6389.2,6371.425
6079.3,6120.5
6008.8,6089.2793
5931.5,5969.6846
6216.3,6263.5674
6186.4,6206.7104
6497.5,6445.8423
6349.8,6397.1616
6474.8,6428.806
5814.1,5809.271
6166.3,6128.663
5933.0,5875.7017
6106.4,6014.518
5376.7,5343.875
5817.0,5724.6353
5573.4,5561.38
6865.2,6796.4214
4967.6,4949.348
6222.5,6221.1455
5460.0,5539.735
6218.3,6321.242
5956.3,5969.6846
6863.3,6848.77
5990.1,6018.057
4937.3,4925.433
5166.8,5169.297
6217.4,6163.007
6210.1,6270.767
5247.5,5236.9785
5935.2,6002.869
5491.1,5423.728
6988.6,7011.638
6714.5,6660.286
5432.0,5411.4004
5396.1,5423.728
5567.1,5561.181
6716.4,6685.981
6613.5,6623.773
5829.0,5810.7275
5443.6,5413.812
6542.3,6527.961
6057.3,6128.663
5162.4,5223.7476
5751.6,5746.317
5138.6,5047.847
5538.6,5631.798
5613.7,5634.6826
5262.3,5337.634
5277.7,5331.73
6326.6,6281.8584
6963.0,6956.25
5422.4,5539.735
6398.5,6315.153
6472.4,6527.961
5668.2,5722.3125
6396.9,6462.2793
5847.7,5875.7017
6563.5,6567.402
5429.2,5423.728
5519.7,5626.4814
6878.3,6948.8384
5187.0,5229.5723
6696.1,6768.753
6429.2,6351.6367
6478.1,6527.961
6232.1,6293.266
6427.4,6462.2793
6629.1,6633.0835
6943.0,6876.8545
6324.1,6346.6875
5700.6,5711.594
4618.7,4604.9844
6071.4,6117.014
6579.5,6695.797
6368.3,6371.425
6481.4,6354.988
5326.0,5343.875
5627.8,5669.752
6240.5,6296.304
5625.9,5561.181
5789.6,5795.5396
6545.3,6527.961
5318.1,5324.3237
5645.1,5669.4634
5784.5,5742.9497
5303.9,5324.403
5297.0,5324.3237
6498.1,6452.7773
4915.4,4933.545
5311.2,5236.9785
5864.6,5877.158
5824.7,5870.252
6775.8,6775.814
6152.1,6205.4287
5952.4,5971.767
6280.4,6260.5293
6393.9,6371.425
6171.5,6202.3906
6679.0,6660.286
6234.0,6202.3906
5456.7,5440.483
6602.2,6627.634
6179.1,6205.4287
7093.7,7045.1694
5337.7,5415.449
5411.4,5392.763
7127.8,7069.6226
6760.7,6727.2188
6332.3,6348.5166
6200.9,6128.663
6803.4,6861.379
5897.1,5861.97
6084.6,6018.057
6605.8,6671.515
5338.1,5343.875
6604.3,6630.672
6086.1,6086.8677
6707.5,6698.835
6650.9,6647.2017
5874.9,5861.97
6606.5,6630.672
5148.5,5108.188
6155.0,6120.5
5659.8,5693.186
7006.4,6973.9185
6807.8,6796.4214
5461.8,5412.8325
6732.2,6654.9536
6223.1,6163.007
6933.7,6908.836
5482.0,5392.763
6532.7,6527.961
6433.0,6343.129
5173.7,5169.297
5180.3,5179.0854
5946.1,5861.97
6232.6,6194.2275
6549.1,6527.961
5883.1,5861.97
6843.6,6775.814
6441.6,6465.3174
6764.5,6775.814
6852.4,6796.4214
6811.4,6729.489
5602.9,5548.479
6981.6,7019.8013
4963.2,4933.536
6931.2,6873.8164
6376.5,6356.6797
5920.9,5906.8037
5477.3,5423.728
5840.3,5781.454
5951.4,5873.619
6700.2,6695.797
6643.0,6547.1177
5256.3,5331.73
5697.3,5634.6826
6442.2,6437.1064
5352.7,5351.2764
5155.6,5169.297
6672.4,6681.6787
5183.8,5094.5454
5496.1,5544.625
6271.7,6324.2803
4939.8,4959.1367
7323.8,7186.6045
5758.8,5724.6353
6701.3,6775.814
6536.2,6630.672
5782.3,5803.894
6020.6,5969.6846
5104.7,5094.5454
6377.9,6371.425
6523.6,6527.961
6045.2,6117.014
6359.7,6346.6875
6523.2,6437.1064
6851.2,6796.4214
7001.0,6956.25
5576.5,5617.365
5226.4,5182.9395
6357.6,6397.1616
6515.3,6520.6143
6979.4,7016.729
6591.7,6527.961
6362.3,6309.235
6687.2,6660.286
6557.9,6532.263
5746.8,5803.8213
5345.4,5409.958
5743.0,5737.9624
